time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{model}.m.x,{model}.m.y
4.9699999999999385,0.01,0.12389995181102464,-0.009999999999999898,1.5199999999999998,2.7534453536290084,0.38293058670253577,0.10124910197558427
4.979999999999938,0.01,0.12327732318549578,-0.009999999999999898,1.5199999999999998,2.754684353147119,0.395212201611462,0.1258927231942883
4.989999999999938,0.01,0.1226578234264406,-0.009999999999999898,1.5199999999999998,2.7559171263789737,0.40614743241051815,0.15117610342555343
4.999999999999938,0.01,0.12204143681051316,-0.009999999999999898,1.5199999999999998,2.757143704613238,0.41570255288547947,0.17702581509620596
5.009999999999938,0.01,0.12142814769338095,-0.009999999999999898,1.5199999999999998,2.7583641189813433,0.42384783805187964,0.20336662887154067
5.019999999999937,0.01,0.12081794050932837,-0.009999999999999898,1.5199999999999998,2.759578400458277,0.4305576617636542,0.23012173169409172
5.029999999999937,0.01,0.12021079977086147,-0.009999999999999898,1.5199999999999998,2.76078657986337,0.4358105824317206,0.25721295018427015
5.039999999999937,0.01,0.11960671006831491,-0.009999999999999898,1.5199999999999998,2.761988687861079,0.43958941655403205,0.28456097875364644
5.049999999999937,0.01,0.11900565606946056,-0.009999999999999898,1.5199999999999998,2.763184754961762,0.4418812997941529,0.3120856117648404
5.0599999999999365,0.01,0.11840762251911907,-0.009999999999999898,1.5199999999999998,2.7643748115224565,0.44267773538187166,0.33970597905711086
5.069999999999936,0.01,0.11781259423877177,-0.009999999999999898,1.5199999999999998,2.765558887747648,0.441974629646686,0.36734078414386934
5.079999999999936,0.01,0.1172205561261761,-0.009999999999999898,1.5199999999999998,2.7667370136900353,0.43977231453305354,0.39490854437752393
5.089999999999936,0.01,0.11663149315498234,-0.009999999999999898,1.5199999999999998,2.767909219251297,0.43607555698499095,0.42232783236833593
5.099999999999936,0.01,0.11604539037435146,-0.009999999999999898,1.5199999999999998,2.769075534182847,0.4308935551268001,0.4495175179373774
5.1099999999999355,0.01,0.1154622329085766,-0.009999999999999898,1.5199999999999998,2.7702359880865903,0.424239921206298,0.4763970098792454
5.119999999999935,0.01,0.11488200595670484,-0.009999999999999898,1.5199999999999998,2.771390610415676,0.41613265130679156,0.5028864968079415
5.129999999999935,0.01,0.11430469479216199,-0.009999999999999898,1.5199999999999998,2.772539430475243,0.4065940818740645,0.5289071863592786
5.139999999999935,0.01,0.11373028476237845,-0.009999999999999898,1.5199999999999998,2.7736824774231645,0.3956508331446956,0.5543815420253433
5.149999999999935,0.01,0.11315876128841773,-0.009999999999999898,1.5199999999999998,2.7748197802707883,0.383333739601993,0.5792335169009291
5.159999999999934,0.01,0.11259010986460583,-0.009999999999999898,1.5199999999999998,2.7759513678836725,0.36967776762557747,0.6033887836284474
5.169999999999934,0.01,0.11202431605816376,-0.009999999999999898,1.5199999999999998,2.7770772689823184,0.35472192054006,0.6267749598366295
5.179999999999934,0.01,0.11146136550884078,-0.009999999999999898,1.5199999999999998,2.7781975121429,0.33850913130721294,0.6493218283793142
5.189999999999934,0.01,0.11090124392854994,-0.009999999999999898,1.5199999999999998,2.7793121257979885,0.32108614314440265,0.6709615516937716
